Id,Name,WeekSales,WeekPSales,WeekBudget,WeekPBudget,PrevPeriodSales,PrevPeriodBudget,Date,ExpenseType
31,Total Payroll,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Payroll
32,Prime Cost,12824.75,0,0,0,0,0,11/6/2017 12:00:00 AM,Payroll
33,Profit after Prime Cost,6238.853,0,0,0,0,0,11/6/2017 12:00:00 AM,Payroll
34,Credit Card Processing,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
35,Direct Operating,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
36,Administrative,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
37,Advertising and Promotion,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
38,Repairs & Maintenance,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
39,Occupancy Cost,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
40,Total Overhead Expense,484.4211,0,0,0,0,0,11/6/2017 12:00:00 AM,Overhead Expense
41,Food,15023.62,0.9290677,0,0,33433.77,0,10/23/2017 12:00:00 AM,Sales
42,Beverage,403.5703,0.02495697,0,0,816.3324,0,10/23/2017 12:00:00 AM,Sales
43,Other,743.451,0.04597535,0,0,1864.318,0,10/23/2017 12:00:00 AM,Sales
44,Total,16170.64,1,0,1,36114.41,0,10/23/2017 12:00:00 AM,Sales
45,Food,4645.43,0.3092084,0,0,14729.36,0,10/23/2017 12:00:00 AM,Cost of Sales
46,Beverage,30,0.07433648,0,0,77.47123,0,10/23/2017 12:00:00 AM,Cost of Sales
47,Paper Goods,789.29,0.04881005,0,0,2020.793,0,10/23/2017 12:00:00 AM,Cost of Sales
48,Total,5472.72,0.3384355,0,0,16905.63,0,10/23/2017 12:00:00 AM,Cost of Sales
49,Gross Profit,10697.92,0.6615645,0,0,19208.78,0,10/23/2017 12:00:00 AM,Cost of Sales
50,Payroll,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Payroll
51,Payroll Taxes,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Payroll
52,Benefits & Expenditures,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Payroll
53,Total Payroll,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Payroll
54,Prime Cost,10697.92,0,0,0,19208.78,0,10/23/2017 12:00:00 AM,Payroll
55,Profit after Prime Cost,5472.721,0,0,0,16905.63,0,10/23/2017 12:00:00 AM,Payroll
56,Credit Card Processing,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
57,Direct Operating,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
58,Administrative,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
59,Advertising and Promotion,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
60,Repairs & Maintenance,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
61,Occupancy Cost,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
62,Total Overhead Expense,0,0,0,0,0,0,10/23/2017 12:00:00 AM,Overhead Expense
63,Food,17578.17,0.915226,0,0,0,0,10/9/2017 12:00:00 AM,Sales
64,Beverage,468.0305,0.0243685,0,0,0,0,10/9/2017 12:00:00 AM,Sales
65,Other,1160.17,0.06040549,0,0,0,0,10/9/2017 12:00:00 AM,Sales
66,Total,19206.37,1,0,1,0,0,10/9/2017 12:00:00 AM,Sales
67,Food,5553.767,0.3159468,0,0,13835.56,0,10/30/2017 12:00:00 AM,Cost of Sales
68,Beverage,76.09122,0.1625775,0,0,30,0,10/30/2017 12:00:00 AM,Cost of Sales
69,Paper Goods,764.6729,0.0398135,0,0,2045.71,0,10/30/2017 12:00:00 AM,Cost of Sales
70,Total,6435.921,0.335093,0,0,15955.89,0,10/30/2017 12:00:00 AM,Cost of Sales
71,Gross Profit,12770.45,0.664907,0,0,-15955.89,0,10/30/2017 12:00:00 AM,Cost of Sales
72,Payroll,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Payroll
73,Payroll Taxes,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Payroll
74,Benefits & Expenditures,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Payroll
75,Total Payroll,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Payroll
76,Prime Cost,12770.45,0,0,0,-15955.89,0,10/9/2017 12:00:00 AM,Payroll
77,Profit after Prime Cost,6435.921,0,0,0,15955.89,0,10/9/2017 12:00:00 AM,Payroll
78,Credit Card Processing,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
79,Direct Operating,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
80,Administrative,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
81,Advertising and Promotion,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
82,Repairs & Maintenance,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
83,Occupancy Cost,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
84,Total Overhead Expense,0,0,0,0,0,0,10/9/2017 12:00:00 AM,Overhead Expense
85,Food,13621.28,0.9286772,0,0,0,0,11/13/2017 12:00:00 AM,Sales
86,Other,471.12,0.03212021,0,0,0,0,11/13/2017 12:00:00 AM,Sales
87,Beverage,574.9999,0.03920258,0,0,0,0,11/13/2017 12:00:00 AM,Sales
88,Food,5040.953,0.3700792,0,0,5413.171,0,11/13/2017 12:00:00 AM,Cost of Sales
89,Beverage,73.722,0.1282122,0,0,36.72751,0,11/13/2017 12:00:00 AM,Cost of Sales
90,Paper Goods,-225.9758,-0.01540667,0,0,744.7169,0,11/13/2017 12:00:00 AM,Cost of Sales
91,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
92,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
93,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
94,Credit Card Processing,422.2114,0.02494586,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
95,Direct Operating,551.642,0.03259311,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
96,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
97,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
98,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
99,Occupancy Cost,958.2328,0.05661605,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
100,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
101,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
102,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
103,Owners Draws,625,0.03278498,0,0,0,0,11/6/2017 12:00:00 AM,Takeaway
104,Loan Payment,1125,0.05901297,0,0,0,0,11/6/2017 12:00:00 AM,Takeaway
105,Loan Tax,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Takeaway
106,Owners Draws,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Takeaway
107,Loan Payment,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Takeaway
108,Loan Tax,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Takeaway
109,Electric,313.68,0,0,0,0,0,11/6/2017 12:00:00 AM,Utilities
110,Water,38.19,0,0,0,0,0,11/6/2017 12:00:00 AM,Utilities
111,Gas,39.312,0,0,0,0,0,11/6/2017 12:00:00 AM,Utilities
112,Monthly Cleaning,25,0,0,0,0,0,11/6/2017 12:00:00 AM,Janitorial & Chemical
113,Cleaning Tools & Supplies,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Janitorial & Chemical
114,Chemicals,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Janitorial & Chemical
115,Operating Linen,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Laundry & Linen
116,Pandora,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Music & Entertainment
117,Spotify,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Music & Entertainment
118,Pest Control,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Contract Services
119,Hood Cleaning,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Contract Services
120,Knife Sharpening,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Contract Services
121,Fire Suppression Check,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Contract Services
122,Kitchen Supplies,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Misc. Operating
123,Freight & Delivery,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Misc. Operating
124,License & Permits,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Misc. Operating
125,Telephone & Internet,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Misc. Operating
126,Liability Insurance,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Misc. Operating
127,Other Direct Operating Expenses,0,0,0,0,0,0,11/6/2017 12:00:00 AM,Misc. Operating
128,Electric,313.68,0,0,0,313.68,0,11/13/2017 12:00:00 AM,Utilities
129,Water,38.19,0,0,0,38.19,0,11/13/2017 12:00:00 AM,Utilities
130,Gas,39.312,0,0,0,39.312,0,11/13/2017 12:00:00 AM,Utilities
131,Monthly Cleaning,25,0,0,0,25,0,11/13/2017 12:00:00 AM,Janitorial & Chemical
132,Cleaning Tools & Supplies,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Janitorial & Chemical
133,Chemicals,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Janitorial & Chemical
134,Operating Linen,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Laundry & Linen
135,Pandora,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Music & Entertainment
136,Spotify,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Music & Entertainment
137,Pest Control,60,0,0,0,0,0,11/13/2017 12:00:00 AM,Contract Services
138,Hood Cleaning,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Contract Services
139,Knife Sharpening,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Contract Services
140,Fire Suppression Check,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Contract Services
141,Kitchen Supplies,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Misc. Operating
142,Freight & Delivery,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Misc. Operating
143,License & Permits,23.21,0,0,0,0,0,11/13/2017 12:00:00 AM,Misc. Operating
144,Telephone & Internet,25,0,0,0,0,0,11/13/2017 12:00:00 AM,Misc. Operating
145,Liability Insurance,27.25,0,0,0,0,0,11/13/2017 12:00:00 AM,Misc. Operating
146,Other Direct Operating Expenses,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Misc. Operating
147,Food,5631.32,0.9080636,0,0,13621.28,0,11/20/2017 12:00:00 AM,Sales
148,Other,298.22,0.04808867,0,0,471.12,0,11/20/2017 12:00:00 AM,Sales
149,Beverage,271.9201,0.04384775,0,0,574.9999,0,11/20/2017 12:00:00 AM,Sales
150,Food,449.92,0.079896,0,0,10454.12,0,11/20/2017 12:00:00 AM,Cost of Sales
151,Beverage,0,0,0,0,110.4495,0,11/20/2017 12:00:00 AM,Cost of Sales
152,Paper Goods,800.15,0.1290261,0,0,518.7411,0,11/20/2017 12:00:00 AM,Cost of Sales
153,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
154,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
155,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
156,Credit Card Processing,373.9501,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
157,Direct Operating,551.642,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
158,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
159,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
160,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
161,Occupancy Cost,958.2328,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
162,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
163,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
164,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
165,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
166,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
167,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
168,Credit Card Processing,9.879997,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
169,Direct Operating,551.642,0.03259311,0,0,551.642,0,11/13/2017 12:00:00 AM,Overhead Expense
170,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
171,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
172,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
173,Occupancy Cost,958.2328,0.05661605,0,0,958.2328,0,11/13/2017 12:00:00 AM,Overhead Expense
174,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
175,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
176,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
177,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
178,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
179,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
180,Credit Card Processing,10.44,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
181,Direct Operating,551.642,0.03259311,0,0,1103.284,0,11/13/2017 12:00:00 AM,Overhead Expense
182,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
183,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
184,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
185,Occupancy Cost,958.2328,0.05661605,0,0,1916.466,0,11/13/2017 12:00:00 AM,Overhead Expense
186,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
187,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
188,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
189,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
190,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
191,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
192,Credit Card Processing,10.44,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
193,Direct Operating,551.642,0.03259311,0,0,1654.926,0,11/13/2017 12:00:00 AM,Overhead Expense
194,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
195,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
196,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
197,Occupancy Cost,958.2328,0.05661605,0,0,2874.698,0,11/13/2017 12:00:00 AM,Overhead Expense
198,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
199,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
200,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
201,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
202,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
203,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
204,Credit Card Processing,10.44,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
205,Direct Operating,551.642,0.03259311,0,0,2206.568,0,11/13/2017 12:00:00 AM,Overhead Expense
206,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
207,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
208,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
209,Occupancy Cost,958.2328,0.05661605,0,0,3832.931,0,11/13/2017 12:00:00 AM,Overhead Expense
210,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
211,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
212,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
213,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
214,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
215,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
216,Credit Card Processing,11.03,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
217,Direct Operating,551.642,0.03259311,0,0,2758.21,0,11/13/2017 12:00:00 AM,Overhead Expense
218,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
219,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
220,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
221,Occupancy Cost,958.2328,0.05661605,0,0,4791.164,0,11/13/2017 12:00:00 AM,Overhead Expense
222,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
223,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
224,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
225,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
226,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
227,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
228,Credit Card Processing,12.88,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
229,Direct Operating,551.642,0.03259311,0,0,3309.852,0,11/13/2017 12:00:00 AM,Overhead Expense
230,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
231,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
232,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
233,Occupancy Cost,958.2328,0.05661605,0,0,5749.396,0,11/13/2017 12:00:00 AM,Overhead Expense
234,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
235,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
236,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
237,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
238,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
239,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
240,Credit Card Processing,22.58,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
241,Direct Operating,551.642,0.03259311,0,0,3861.494,0,11/13/2017 12:00:00 AM,Overhead Expense
242,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
243,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
244,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
245,Occupancy Cost,958.2328,0.05661605,0,0,6707.629,0,11/13/2017 12:00:00 AM,Overhead Expense
246,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
247,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
248,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
249,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
250,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
251,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
252,Credit Card Processing,124.8202,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
253,Direct Operating,551.642,0.03259311,0,0,4413.136,0,11/13/2017 12:00:00 AM,Overhead Expense
254,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
255,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
256,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
257,Occupancy Cost,958.2328,0.05661605,0,0,7665.862,0,11/13/2017 12:00:00 AM,Overhead Expense
258,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
259,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
260,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
261,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
262,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
263,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
264,Credit Card Processing,157.89,0.02494586,0,0,1313.89,0,11/13/2017 12:00:00 AM,Overhead Expense
265,Direct Operating,551.642,0.03259311,0,0,4964.778,0,11/13/2017 12:00:00 AM,Overhead Expense
266,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
267,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
268,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
269,Occupancy Cost,958.2328,0.05661605,0,0,8624.095,0,11/13/2017 12:00:00 AM,Overhead Expense
270,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
271,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
272,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
273,Food,6051.585,0.9397025,0,0,19252.6,0,11/27/2017 12:00:00 AM,Sales
274,Other,176.53,0.02741194,0,0,769.34,0,11/27/2017 12:00:00 AM,Sales
275,Beverage,211.7801,0.03288564,0,0,846.92,0,11/27/2017 12:00:00 AM,Sales
276,Food,1848.428,0.3054452,0,0,10904.04,0,11/27/2017 12:00:00 AM,Cost of Sales
277,Beverage,0,0,0,0,110.4495,0,11/27/2017 12:00:00 AM,Cost of Sales
278,Paper Goods,0,0,0,0,1318.891,0,11/27/2017 12:00:00 AM,Cost of Sales
279,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
280,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
281,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
282,Credit Card Processing,123.6001,0.02494586,0,0,1471.78,0,11/13/2017 12:00:00 AM,Overhead Expense
283,Direct Operating,551.642,0.03259311,0,0,5516.42,0,11/13/2017 12:00:00 AM,Overhead Expense
284,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
285,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
286,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
287,Occupancy Cost,958.2328,0.05661605,0,0,9582.328,0,11/13/2017 12:00:00 AM,Overhead Expense
288,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
289,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
290,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
291,Payroll,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
292,Payroll Taxes,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
293,Benefits & Expenditures,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Payroll
294,Credit Card Processing,151.8698,0.02494586,0,0,1557.88,0,11/13/2017 12:00:00 AM,Overhead Expense
